Loadings,Lower_CI,Upper_CI
0.239016667939507,0.130760576248451,0.314436518479055
0.125863382235631,-0.0158732248936566,0.226298631725458
0.237710155933685,0.173867425646669,0.311823726763634
0.200135011941519,0.0886339415718993,0.284144573862196
-0.0981446378420431,-0.136803633923853,0.00661233482302739
-0.257207587995766,-0.323396893199479,-0.125821683960763
-0.0338909112034316,-0.118190420552511,0.0537809032240268
-0.113408888363658,-0.201994943452554,0.0379508017967944
-0.417537617046127,-0.481733890057802,-0.296479042443689
-0.00784976399415348,-0.1377822549268,0.147391943885202
-0.017946717468534,-0.115888226291263,0.0579370368898165
-0.535732122006294,-0.572874381939471,-0.389780783293188
-0.148709381520936,-0.269672464433982,-0.0569438618397511
0.219536948872965,0.0873938116536754,0.316657237854696
-0.353936993266837,-0.420766753901529,-0.212919231354699
-0.111953476292885,-0.215381660420834,0.0400117922670433
-0.0302658225595355,-0.110437179061215,0.0896391562647581
0.173551370351404,0.0776506442972885,0.256131578729071
0.0179225011336358,-0.0906456799573711,0.0837864343234377
-0.0986628778652207,-0.198394961964197,-0.0106558126646312
0.1010441602274,-0.0214971617551534,0.18357169578977
-0.13698851069874,-0.231545063805927,-0.00599084653469375
-0.0275202704804515,-0.108239628739298,0.0683040886664216
-0,-0.00397819281833241,0.00174485485716979
